Title,Location,Date Published,Submission Deadline,Resource ID,Info,Procedure,Status,Notice PDF,Award Date,Estimated Value,Cycle
Achilles Qualification System Notice - Supply-Line Qualification System for Services incl. Engineering Services October 2024,Achilles Procurement Services Ltd (Buyer),28/10/2024 08:20:32,,4539241,"This notice updates and replaces the notice published on 31 May 2024 (CfT Resource ID 3680855) and covers all contracting entities using the Supply-Line system. Supply-Line is a qualification system operated by Achilles Procurement Services Ltd and used by a number of contracting entities in Ireland as a source for tenderer selection for contracts or frameworks valued above the EU thresholds: EUR 443000 for supplies and services; EUR 1 million for social and other specific services; EUR 5538000 for works contracts and works and services concessions. From time to time it is also used as a source for tenderer selection for contracts valued below the EU thresholds. At their discretion, the contracting entities may publish additional calls for competition for any or all of the procurement categories listed in the briefing document available from www.etenders.gov.ie using Resource ID 4539241. They may apply additional rules and criteria in relation to specific procurements, including site visits, Supply-Line Verify audits, etc.. They may opt, where deemed necessary, not to use supply-line and to publish a separate call for competition in the Official Journal of the European Union, to publish a separate notice in the national press or on www.etenders.gov.ie. Please note this notice covers the full range of contract categories across services including Title III services - separate notices will be published for supplies and works. Information about the Qualification System and membership is available using the following link https://www.achilles.com/wp/wp-content/uploads/2023/06/Supply-Line-factsheet-update-24.pdf In addition to the qualification stage some of the buying organisations also require suppliers to be audited in accordance with the Achilles Supply-Line Verify Audit programme. Details are available using this link https://www.achilles.com/wp/wp-content/uploads/2023/06/Supply-Line-factsheet-update-24.pdf. Further information on the buyers using Supply-Line is available via the following link which provides up-to-date details on the current buyers using the system: https://pages.achilles.com/supply_line_qualification_system_notice",Qualification System,Established,/epps/cft/downloadNoticeForAdvSearch.do?resourceId=4539241,,,1
WCCC24 660 Leasing of Pay Parking Machines,Waterford City and County Council_103683,28/10/2024 08:20:21,27/11/2024 15:00:00,4563795,"In summary, the Services comprise the leasing of up to 120 pay parking machines under a leasing agreement. The contract will be fully inclusive of all aspects involved in the provision of working pay parking machines, including: supply of machines that will accept coin and card payments; enabling internet connectivity; all associated processes involved in payment processing; preventative maintenance; proactive fault monitoring; responding to repair requests; supply of spare parts; provision of a real-time online software system to monitor machines and provide data insights; replacement of machines as required; temporary removal and storage of machines as required; permanent removal of machines as required.",Open,Tender Submission,/epps/cft/downloadNoticeForAdvSearch.do?resourceId=4563795,,,1
TCD Zoology Building Refurbishment,Trinity College Dublin the University of Dublin_336,25/10/2024 23:34:11,26/11/2024 13:00:00,4575075,"The refurbishment and fire safety upgrade to the basement area and localised areas of the ground, first and second floors to the Zoology building. A new fire escape stairway will be constructed from basement level to ground floor, while a new external escape stair will be installed from the second-floor corridor to the first-floor roof terrace of the neighbouring Physiology Building.",Open,Tender Submission,/epps/cft/downloadNoticeForAdvSearch.do?resourceId=4575075,,"2,600,000.00",1
Services for MS Defender for Endpoint Migration,Tourism Ireland CLG,25/10/2024 18:27:44,15/11/2024 12:00:00,4571310,"Tourism Ireland wishes to enter into a contract with a Supplier in order to migrate all endpoints and servers to MS Defender ensuring full use of licensing and security benefits. The appointment is being made by a process of competitive tender using the Open Procedure. Suitably qualified Tenderers are hereby invited to submit a Tender. The Contract Period will be for 3 years extendable by 2 further years on an annual basis, subject to budget and annual performance review, and other factors. It is anticipated that the Contract will commence on 16/12/in December 2024. PLEASE REFER TO THE CFT DOCUMENTS AVAILABLE FOR DOWNLOADING FOR FURTHER INFORMATION ON THE REQUIRED SERVICES",Open,Tender Submission,/epps/cft/downloadNoticeForAdvSearch.do?resourceId=4571310,,,1
8950 - Supply of Non-reversible Temperature Strips,Iarnród Eireann-Irish Rail,25/10/2024 17:17:03,22/11/2024 12:00:00,4574254,Iarnród Éireann (IÉ) is seeking to enter into a long-term supply agreement with a specialist company[s] with a demonstrable track record in the Supply of Non-reversible Temperature Strips for a period of 5 years.,Negotiated with prior call for competition,Tender Submission,/epps/cft/downloadNoticeForAdvSearch.do?resourceId=4574254,,"240,000.00",1
Donegal County Council PEACEPLUS Action Plan. Theme 2 Thriving and Peaceful Communities Programme. Respectful Relations Countywide Youth Peace Programme,Donegal County Council_1193,25/10/2024 17:07:48,25/11/2024 12:00:00,4572505,"Donegal County Council Donegal ,Donegal's PEACEPLUS Action Plan Theme 2 Thriving and Peaceful Communities Programme. Respectful Relations Countywide Youth Peace Programme Design and deliver a Respectful Relations Countywide Youth Peace Programme . The programme will focus on behavioural change as an aspect of building relations between people from different backgrounds, including under-represented groups to develop young people’s social, emotional, and positive relationship skills.",Open,Tender Submission,/epps/cft/downloadNoticeForAdvSearch.do?resourceId=4572505,,,1
Renovation and Extension of Existing Building at Sarsfield Barracks,Óglaigh Náisiúnta na hÉireann/Organisation of National Ex-Service Personnel (ONE),25/10/2024 16:29:47,03/12/2024 12:00:00,4574022,"Consultancy Services including Lead Consultant, Architectural , Grade 3 Conservation Architect, Structural Engineering with Conservation Services, Civil Engineering with Traffic Engineering, Building Services Engineering, Fire and DAC Consultancy Services, Quantity Surveying, Project Supervisor Design Process, Design and Assigned Certifiers and Employer’s Representative Services.",Open,Tender Submission,/epps/cft/downloadNoticeForAdvSearch.do?resourceId=4574022,,,1
Underwater Diving Repair Works at Quay Wall in Killybegs Fishery Harbour Centre,Department of Agriculture Food and the Marine,25/10/2024 16:02:27,08/11/2024 12:00:00,4573223,Dive examination and Repair of Main Quay wall in Killybegs FHC,Open,Tender Submission,/epps/cft/downloadNoticeForAdvSearch.do?resourceId=4573223,,"300,000.00",1
Tralee Town Park Playground Upgrade,Kerry County Council_1204,25/10/2024 15:53:18,15/11/2024 17:00:00,4564331,"Upgrade to Tralee Town Park Playground, Co. Kerry - Kerry County Council have secured funding to upgrade the existing playground with a range of new equipment to include a MEGA/Large Combination Multi Tower Unit, Inclusive Trampoline and more including ancillary site works. There is ample space within the existing playground for the upgrade, with the removal of 3no. pieces of unused play equipment, as shown in Drawing 1.",Open,Tender Submission,/epps/cft/downloadNoticeForAdvSearch.do?resourceId=4564331,,,1
Multi-Party Framework for the provision of Barrister Services to the SFPA,Sea-Fisheries Protection Authority,25/10/2024 15:43:46,18/11/2024 14:00:00,4571929,Multi-Party Framework for the provision of Barrister Services to the SFPA,Open,Tender Submission,/epps/cft/downloadNoticeForAdvSearch.do?resourceId=4571929,,"210,000.00",1
RFT for provision of Veterinary Specific Training Services,XLVets Skillnet,25/10/2024 15:12:39,22/11/2024 17:00:00,4571532,Request for Tender (RFT) for provision of Veterinary Specific Training Services to XLVets Skillnet (2025),Open,Tender Submission,/epps/cft/downloadNoticeForAdvSearch.do?resourceId=4571532,,"200,000.00",1
Provision of Consultancy Services supporting the implementation of Records Management Audit Recommendations for Inland Fisheries Ireland,Inland Fisheries Ireland,25/10/2024 14:41:53,15/11/2024 17:00:00,4512168,provision of Consultancy Services supporting the implementation of Records Management Audit Recommendations for Inland Fisheries Ireland,Open,Tender Submission,/epps/cft/downloadNoticeForAdvSearch.do?resourceId=4512168,,,1
Monaghan County Council wishes to tender for: Cloughvalley Sensory Garden/Path and Outdoor Educational Space,Monaghan County Council,25/10/2024 14:33:16,15/11/2024 16:00:00,4570970,Construction and landscaping of a Sensory Garden / Pathway and Outdoor Educational Space.,Open,Tender Submission,/epps/cft/downloadNoticeForAdvSearch.do?resourceId=4570970,,,1
Computer Numerically Controlled Milling Machine,University College Dublin ( UCD ),25/10/2024 14:14:17,18/11/2024 12:00:00,4570154,"University College Dublin, wishes to engage with a suitably qualified organisation for the procurement of a Computer Numerically Controlled Milling Machine. Full details available in the attached tender documents and available to download free of charge from www.etenders.gov.ie",Open,Tender Submission,/epps/cft/downloadNoticeForAdvSearch.do?resourceId=4570154,,"90,000.00",1
Donegal County Council Provision of Services for Co-ordination of Donegal Youth Council.,Donegal County Council_1193,25/10/2024 13:50:40,15/11/2024 12:00:00,4568016,Donegal County Council Provision of Services for Co-ordination of Donegal Youth Council Donegal County Council is inviting proposals from suitably qualified and competent service providers for the co-ordination of Donegal Youth Council for the delivery of the 2024 to 2026 term.,Open,Tender Submission,/epps/cft/downloadNoticeForAdvSearch.do?resourceId=4568016,,,1
Computer Numerically Controlled Turning Centre,University College Dublin ( UCD ),25/10/2024 13:24:08,18/11/2024 12:00:00,4569522,University College Dublin wishes to contract with a suitably qualified organisation to procure a Computer Numerically Controlled Turning Centre. Full details available in the attached documents and available to download from eTenders free of charge at www.etenders.gov.ie,Open,Tender Submission,/epps/cft/downloadNoticeForAdvSearch.do?resourceId=4569522,,"70,000.00",1
Single Party Framework Agreement for Mechanical and Electrical Services for Atlantic Technological University Future Living Lab for all stages,Atlantic Technological University,25/10/2024 13:15:42,25/11/2024 13:00:00,4569108,ATU are seeking to Establish a Design Team for the development of a new building ATU Future Living Lab under the Technological Sector Strategic Project Fund TSSPF. Please refer to attached documentation for further information.,Restricted,Tender Submission,/epps/cft/downloadNoticeForAdvSearch.do?resourceId=4569108,,,1
Single Party Framework Agreement for Civil and Structural Engineering Services for Atlantic Technological University Future Living Lab for all stages,Atlantic Technological University,25/10/2024 12:16:05,25/11/2024 13:00:00,4566011,ATU are seeking to Establish a Design Team for the development of a new building ATU Future Living Lab under the Technological Sector Strategic Project Fund TSSPF. Please refer to attached documentation for further information.,Restricted,Tender Submission,/epps/cft/downloadNoticeForAdvSearch.do?resourceId=4566011,,,1
SUV 4X4 Diesel,Department of Housing Local Government and Heritage,25/10/2024 12:07:00,27/11/2024 12:00:00,4567782,"The department of Housing, Local Government and Heritage, National Parks and Wildlife Service at Glenveagh National Park, Co. Donegal have a requirement for an SUV 4X4 Diesel",Open,Tender Submission,/epps/cft/downloadNoticeForAdvSearch.do?resourceId=4567782,,"65,000.00",1
"Tender for the Construction of Two Dwellings at Shallee Drive and Cloughleigh, Ennis, Co. Clare",Clare County Council,25/10/2024 11:33:00,22/11/2024 16:00:00,4565644,"Tender for the construction of two dwellings at Shallee Drive and Cloughleigh, Ennis, Co. Clare",Open,Tender Submission,/epps/cft/downloadNoticeForAdvSearch.do?resourceId=4565644,,"1,000,000.00",1
AG3055C - Request for Tenders for the Supply and Delivery of Fin Fish (Salmonid Feed) for the Marine Institute,Education Procurement Service (EPS),25/10/2024 11:16:57,15/11/2024 14:00:00,4564974,"Tenders are sought for the Supply and Delivery of Organic and Standard Fin Fish (Salmonid) Feeds for the Marine Institute. The Fin Fish Feeds are required to grow stock at both freshwater and marine facilities. Feed MUST be delivered to the Marine Institute, Furnace, Newport, F28 PF65 Co. Mayo.",Open,Tender Submission,/epps/cft/downloadNoticeForAdvSearch.do?resourceId=4564974,,"100,000.00",1
Donegal County Council Donegal's PEACEPLUS Action Plan Theme 2 Thriving and Peaceful Communities Connect to Citizenship Countywide Programme.,Donegal County Council_1193,25/10/2024 10:43:45,22/11/2024 12:00:00,4561747,"Investment area 1.1 Co-designed Local Community Peace Action Plan, Theme 2 ,Thriving and Peaceful Communities Connect to Citizenship, Countywide Youth PEACEPLUS Programme. Donegal County Council is currently seeking to appoint a suitably qualified organisations, or collaboration of organisations from the public, private, or community and voluntary sector to design and deliver a Connection and Citizenship Countywide Youth Peace Programme.",Open,Tender Submission,/epps/cft/downloadNoticeForAdvSearch.do?resourceId=4561747,,,1
Invitation to Participate in an Authorisation Scheme for the provision of Irish Sign Language Interpretation Service for the Courts Service of Ireland,Courts Service,25/10/2024 09:27:25,25/11/2024 15:00:00,4564913,"The Courts Service of Ireland wishes to establish an Authorisation Scheme, (the “Authorisation Scheme”) for the provision of Irish Sign Language (ISL) Interpretation Services for use by individual practicing barristers or solicitors. The Contracting Authority will appoint suitably qualified service providers (“Approved Service Providers”) to a panel (the “Panel”) in order to meet the need for the provision of the Services (i.e. ISL Interpretation Services). Although the ITP is being advertised on eTenders, this is in fact a simple Authorisation Scheme established pursuant to Recital 4 of Directive 2014/24/EU (the “Directive”) and accordingly is outside of the scope of the Directive.",Open,Tender Submission,/epps/cft/downloadNoticeForAdvSearch.do?resourceId=4564913,,"260,000.00",1
"LI3052C - RFT for the Supply, Implementation, Maintenance and Support of a Publication and Research Data Repository System for the University of Limerick",Education Procurement Service (EPS),25/10/2024 08:10:29,25/11/2024 14:00:00,4552032,"The Glucksman Library at the University of Limerick wishes to tender for an agreement with a service provider for the provision, implementation, maintenance and support of the research data repository system that will replace the current research publications repository. The system and service will treat UL research output in a procedurally agnostic fashion, i.e. allowing researchers to deposit both publications and data.",Open,Tender Submission,/epps/cft/downloadNoticeForAdvSearch.do?resourceId=4552032,,"450,000.00",1
Fixed Wing Air Ambulance Services (24/7/365),Health Service Executive (HSE),25/10/2024 08:10:19,02/12/2024 12:00:00,4555782,"The HSE is seeking tenders for the 24/7/365 emergency air ambulance transport via fixed wing air ambulance, to transfer patients (both inpatients and at home based patients) between Ireland and other countries mainly the UK. Emergency Fixed Wing Air Ambulance Services also includes the requirement to transfer organs between hospitals, usually within the country. The Emergency Fixed Wing Air Ambulance Services will be based at an airport in Dublin providing emergency air ambulance transfer service 24/7/365. The principle requirements shall be for the transfer, via air ambulance, of patients from Ireland to another jurisdiction or organs and/or organ retrieval teams usually within Ireland, often in emergency situations. The entire provision of the service would be the remit of the service Provider i.e. staffing, equipment, etc.",Open,Tender Submission,/epps/cft/downloadNoticeForAdvSearch.do?resourceId=4555782,,,1
"P20099 - T1 Facade, Roof L40 L50 and Spirals Repair",daa plc,25/10/2024 08:02:47,04/12/2024 15:00:00,4549747,"Dublin Airport T1 Facade, Roof L40 L50 and Spirals Repair",Negotiated with prior call for competition,Tender Submission,/epps/cft/downloadNoticeForAdvSearch.do?resourceId=4549747,,,1
Consultancy Services to produce a Master Development Plan for Naval Service base at Haulbowline,Department of Defence,25/10/2024 08:02:33,27/11/2024 12:00:00,4555863,"Refer to Briefing Documents This is a Call for Tender in respect of Services. Please note that: tenderers must associate themselves with this Competition in order to access the tender documents, ask and receive clarifications and submit a tender response. To do so you must ensure you click “Proceed with Association”. This can only be done via login. All responses must be submitted in a zipped file format and must be accurately named. the Contracting Authority are not in a position to answer queries marked “confidential “ Late tenders will not be accepted. Tenderers experiencing any difficulties should contact the e-tenders helpdesk at irish-eproc-helpdesk@eurodyn.com or by phone on +353 818001459",Open,Tender Submission,/epps/cft/downloadNoticeForAdvSearch.do?resourceId=4555863,,1.00,1
St Ita’s and St Mary’s Special Schools Drogheda - Main Contractor,Department of Education,25/10/2024 08:02:27,26/11/2024 12:00:00,4546649,"A new school building for St. Ita’s and St Mary’s Special Schools, provided in a part single, two and three-storey building arranged as 2 linked blocks, including upgraded access road to be constructed for shared use with the adjacent Pitch and Putt club. The proposed building will contain 20 no. classrooms for St. Ita’s, 17 no. classrooms for St. Mary’s, associated clinician and educational support rooms, external rooftop play areas, hydrotherapy pool and all ancillary spaces with total floor area of circa 9586 sqm. Proposed site works to include the construction of new hard and soft play areas, Multi Use Games Area and multisensory gardens, together with all associated paths and paving, 145 no. car-parking spaces, 8 no. covered minibus set-down bays and a further 12 no. queuing spaces, together with boundary treatments, 20 no. bicycle stands, ancillary infrastructure works, ESB sub-station landscaping and a stormwater connection including upgrade works to the existing drainage network located in the public road and footpath in Riverview.",Restricted,Tender Submission,/epps/cft/downloadNoticeForAdvSearch.do?resourceId=4546649,,"34,700,000.00",1
Placement Management System for Trinity College Dublin,Trinity College Dublin the University of Dublin_336,25/10/2024 08:02:20,20/11/2024 14:00:00,4526419,"A cloud- based enterprise Placement Management System for Trinity’s school, hospital, clinic and GP placements",Open,Tender Submission,/epps/cft/downloadNoticeForAdvSearch.do?resourceId=4526419,,"227,000.00",1
"Supply, Delivery, Installation, Commissioning, Training and ongoing support of a fully automated 5HL brewing system.",Teagasc - the Agriculture and Food Development Authority,25/10/2024 08:01:10,26/11/2024 14:00:00,4554724,"Supply, Delivery, Installation, Commissioning, Training and ongoing support of a fully automated 5HL brewing system.",Open,Tender Submission,/epps/cft/downloadNoticeForAdvSearch.do?resourceId=4554724,,,1
KCETB invite submissions for the re-advertisement of the Panel of Companies to provide Coach/Bus Hire services to transport staff and students to a range of off site destinations nationwide,Kilkenny and Carlow ETB,25/10/2024 08:00:55,,4554863,"KCETB invite submissions for the re-advertisement of the Panel of Companies to provide Coach/Bus Hire services to transport staff and students to a range of off site destinations nationwide during the academic year. These journeys will include class trips, field trips, competitions, sporting events, etc. This is year 2 of a 4 year panel and is open to applications throughout that period. Companies that wish to be considered for appointment to this panel will need to ensure they return all the requested information to KCETB. Information will be accepted via the etenders portal, email or by hand to the KCETB office in Seville Lodge, Callan Road, Kilkenny.",Dynamic Purchasing System,Established,/epps/cft/downloadNoticeForAdvSearch.do?resourceId=4554863,,"750,000.00",1
Toilet Services Upgrade Works,St. Peter and Paul's National School (Navan),25/10/2024 08:00:45,13/11/2024 12:00:00,4554323,"This Contract involves the upgrade of the existing WCs Cistern, associated water services pipework and Cold Water Storage Tank. Disconnect and remove existing WCs Cistern, associated water services pipework and Cold Water Storage Tanks. Supply and Installation of new WCs Cistern, associated water services pipework and Cold Water Storage Tanks",Open,Tender Submission,/epps/cft/downloadNoticeForAdvSearch.do?resourceId=4554323,,,1
Atlantic Technological University Dublin Road Supply and Installation of New Seating and Furniture for the New 2 Story Modular Building 2024,Atlantic Technological University,24/10/2024 17:40:05,21/11/2024 12:00:00,4541235,"Supply and installation of seating and furniture for a new 2 Storey New Modular Building on the Dublin Road Galway Campus The two-storey building accommodate a mix of classroom sizes as well as office space and ancillary spaces, consistent with ATU’s scoping document. The overall available site area/ footprint is 25m long x 13.5m wide as per drawings No.2 and the room layout in drawing No.1 this Illustrating the seating and furniture layout that is required and to be supplied and installed. Drawing No2 illustrates the floor plans.",Open,Tender Submission,/epps/cft/downloadNoticeForAdvSearch.do?resourceId=4541235,,,1
"Development of 7 No. Housing Units at Parkmore, Tuam and Hillcrest, Loughrea",Galway County Council,24/10/2024 17:26:47,22/11/2024 16:00:00,4558808,"This is an Open Tender for the Construction Contract for the delivery of 7 No. Housing Units, car parking, connections to existing services and all ancillary site development works at Parkmore, Tuam and Hillcrest, Loughrea, Co. Galway. Refer to the works requirements for the nature and extent of the Works.",Open,Tender Submission,/epps/cft/downloadNoticeForAdvSearch.do?resourceId=4558808,,,1
Development and Delivery of a Training Programme in Digital Health Product Management,Connected Health Skillnet,24/10/2024 17:07:40,15/11/2024 12:00:00,4564177,"Connected Health Skillnet is holding this competition with the objective of establishing a single-party framework for the development and delivery of training programme in digital health product management and provision of associated and additional services, as set out in the RFT.",Open,Tender Submission,/epps/cft/downloadNoticeForAdvSearch.do?resourceId=4564177,,"220,000.00",1
Call for tenders for the provision of the delivery of Hot Meals under the School Meals Scheme to Dunderrow National School (16940O),Dunderrow National School,24/10/2024 16:05:22,14/11/2024 15:00:00,4563320,The Board of Management of Dunderrow NS is seeking proposals for the provision of the delivery of Hot Meals under the School Meals Scheme through the Department of Social Protection (DSP) and is dependent on the level of DSP funding approved for 2024/2025 school year. Dunderrow NS intends to facilitate the availability of hot meals under the School Meals Scheme each day of the school year for 181 students. The school calendar will be furnished to the successful company at the beginning of each school year.,Open,Tender Submission,/epps/cft/downloadNoticeForAdvSearch.do?resourceId=4563320,,"316,000.00",1
"Proposed Glamping Site at Teelin Rd. Carrick, Co. Donegal Re-Tender",Pilgrim Pods Ltd.,24/10/2024 16:00:35,18/11/2024 17:00:00,4550822,Installation of Glamping Pods and associated works.,Open,Tender Submission,/epps/cft/downloadNoticeForAdvSearch.do?resourceId=4550822,,,1
Limerick City and County Council Provision of Mentoring Services for the Local Enterprise Office Limerick,Limerick City and County Council_103432,24/10/2024 16:00:01,24/11/2024 12:00:00,4562324,Provision of Training services on behalf of the Local Enterprise Office Limerick,Open,Tender Submission,/epps/cft/downloadNoticeForAdvSearch.do?resourceId=4562324,,,1
The provision of Sessional Psychotherapy Panel services for TU Dublin,Technological University Dublin (TU Dublin),24/10/2024 15:16:07,,4561839,"TU Dublin proposes to engage in a process for the establishment of a panel from which it will source service providers for the provision of onsite Counselling Services for students. Providers may apply at any time for inclusion on the panel. Psychotherapy and Counselling services may be required on an hourly, daily or weekly basis and this may vary/increase depending on the needs of the university.",Dynamic Purchasing System,Established,/epps/cft/downloadNoticeForAdvSearch.do?resourceId=4561839,,"400,000.00",1
"DLR Co Co - Removal and Temporary Storage of Tracked Slip and Turntable at the Coal Harbour, Dún Laoghaire.",Dún Laoghaire-Rathdown County Council,24/10/2024 15:02:27,05/12/2024 17:00:00,4558849,"A tracked slip exists on the Coal Harbour slipway in Dún Laoghaire Harbour. The tracked slip consists of a pair of masonry ramps, each with a rail fixed to the upper top surface, while the western ramp also has an iron rack of cogs set into its upper surface. At the top of the tracked slip is a turntable that permits the rails to turn and carry boats between the boatyard and the tracked slip. The upper surface of the ramp is of substantial granite blocks, dressed to smooth on the upper surface and on either side. It is proposed that the tracked slip and turntable, with trolleys, be dismantled and put into off-site storage. The dismantling and removal project is to be carried out by a specialist contractor with experience in the systematic removal and recording of where each piece of granite/steel was originally positioned within the slip. Detailed labelling, numbering and recording, with photos, of the granite and cast-iron steel is required to be taken so that the slip and turntable can be restored as it was, at a later date. A detailed schedule of all components is needed.",Open,Tender Submission,/epps/cft/downloadNoticeForAdvSearch.do?resourceId=4558849,,,1
Evaluation of Pilot Medically Supervised Injecting Facility,Health Service Executive (HSE),24/10/2024 14:48:39,28/11/2024 12:00:00,4561574,"The HSE wishes to invite tenders from suitable suppliers to undertake an external evaluation of the 18 month pilot Medically Supervised Injecting Facility at Merchants Quay Ireland, 13-14 Merchant's Quay, The Liberties, Dublin, and D08 KT61. The evaluation is required to take place at 6 and 18 months, in line with planning permission and the licence to operate as per Misuse of Drugs (Supervised Injecting Facilities) Act 2017. The Misuse of Drugs (Supervised Injecting Facilities) Act 2017 Act defines a supervised injecting facility as ""a facility operated by a licence holder where authorised users may consume drugs by injection."" and the Act enables the Minister to issue licenses to operate a supervised injecting facility. This allows for the establishment, licensing, operation and regulation of supervised injecting facility on a pilot basis. As a result of this legislation (and following a tender process), the HSE awarded the contract to provide a medically supervised injecting facility to Merchants Quay Ireland (MQI). MQI subsequently applied and obtained planning permission to pilot a medically supervised injecting facility in its Riverbank Centre, Dublin 8. It is anticipated that this facility will be operational in quarter four 2024 and will run for an 18 month pilot phase.",Open,Tender Submission,/epps/cft/downloadNoticeForAdvSearch.do?resourceId=4561574,,,1
2024 71 Multi Party Framework Agreement for the Supply Delivery of Hairdressing and Barbering Products,Louth and Meath Education and Training Board 1384,24/10/2024 14:20:58,14/11/2024 12:00:00,4561612,2024 71 Multi Party Framework Agreement for the Supply Delivery of Hairdressing and Barbering Products,Open,Tender Submission,/epps/cft/downloadNoticeForAdvSearch.do?resourceId=4561612,,"221,000.00",1
2024 60 Multi Party Framework Agreement for the Supply and Delivery of Hairdressing and Barbering Equipment,Louth and Meath Education and Training Board 1384,24/10/2024 14:04:29,14/11/2024 12:00:00,4561325,2024 60 Multi Party Framework Agreement for the Supply and Delivery of Hairdressing and Barbering Equipment,Open,Tender Submission,/epps/cft/downloadNoticeForAdvSearch.do?resourceId=4561325,,"221,000.00",1
Training Services to ERF Skillnet,National Recruitment Federation,24/10/2024 13:01:54,07/11/2024 17:00:00,4475617,"RF Skillnet was established to support agencies and companies across the country by offering them access to subsidised training in a local or online setting. The focus of the ERF Skillnet is to offer professional development and innovative training programs to ensure their staff have the necessary skills to satisfy the industry’s talent requirements, while closely working with the members to identify training needs and current and future skill shortages, and to support them by organising training courses which are impactful, relevant and which deliver results.",Open,Tender Submission,/epps/cft/downloadNoticeForAdvSearch.do?resourceId=4475617,,"45,000.00",1
Sign Language Interpretation Service Provider Panel,Waterford and Wexford Education and Training Board_110494,24/10/2024 12:42:55,22/12/2025 13:00:00,4560117,WWETB requires Irish Sign Language Interpretation Service providers to support deaf and hearing impaired students. In order to meet this requirement it intends to establish a Panel for the provision of Sign Language Interpreting Services.,Open,Tender Submission,/epps/cft/downloadNoticeForAdvSearch.do?resourceId=4560117,,"100,000.00",1
"COLLECTION OF TIMBER, GLASS, C and D AND GREEN WASTE FROM DINGLE CAS",Kerry County Council_1204,24/10/2024 12:25:55,29/11/2024 16:00:00,4555814,"COLLECTION OF TIMBER, GLASS, C and D AND GREEN WASTE FROM DINGLE CAS",Open,Tender Submission,/epps/cft/downloadNoticeForAdvSearch.do?resourceId=4555814,,,1
Additional Accommodation at Dungarvan College,Waterford and Wexford Education and Training Board_110494,24/10/2024 12:14:13,28/11/2024 17:00:00,4550319,"WWETB are tendering for a contractor for the provision of additional accommodation at Dungarvan College, Co Waterford as detailed in the attached tender documentation.",Open,Tender Submission,/epps/cft/downloadNoticeForAdvSearch.do?resourceId=4550319,,"2,600,000.00",1
TEN2400108 - Request for Tender to deliver bespoke programmes for the PEACEPLUS programme on behalf of Cavan County Council,Cavan County Council,24/10/2024 11:26:32,15/11/2024 12:00:00,4550420,"TEN2400108 - Request for Tender to deliver bespoke programmes for the PEACEPLUS programme on behalf of Cavan County Council . Design and deliver programmes and retreats that offer foundational opportunities for people to further develop their courage and capacity for peace making, attitudinal and behavioural change in their hearts, in families, communities, work and social settings.",Open,Tender Submission,/epps/cft/downloadNoticeForAdvSearch.do?resourceId=4550420,,,1
"Roscommon County Council invites tenders from suitably qualified consultants to prepare a Local Transport Plan (LTP), to inform the delivery the forthcoming Boyle LAP 2025 -2031",Roscommon County Council_424,24/10/2024 10:17:32,25/11/2024 16:00:00,4538241,"In accordance with the evidence-based approach to planning outlined in the National Planning Framework (NPF) and the Regional Spatial and Economic Strategy (RSES), Roscommon County Council invites tenders from suitably qualified consultants to prepare a Local Transport Plan (LTP), to inform the delivery the forthcoming Boyle LAP 2025 -2031. The LTP shall be prepared in line with the methodology set out in the Area Based Transport Assessment (ABTA) Guidance Notes 2018 published by Transport Infrastructure Ireland (TII), along with the supplementary ‘ABTA How To Guide Pilot Methodology’ document prepared by TII and the National Transport Authority (NTA).",Open,Tender Submission,/epps/cft/downloadNoticeForAdvSearch.do?resourceId=4538241,,"50,000.00",1
"Conservation and Design Services for the Gamekeeper’s Lodge, Coronation Plantation Monument, and Boathouse Site, Wicklow Mountains National Park",Department of Housing Local Government and Heritage,24/10/2024 08:44:54,14/11/2024 12:00:00,4557290,"Wicklow Mountains National Park stretches across almost 23,000 hectares south of Dublin. The largest of Ireland’s National Parks and the only one in the east, Wicklow features wide-open vistas, winding mountain roads and fast-flowing streams that descend into the deep lakes of the wooded valleys, including St Kevin’s monastic settlement at Glendalough.While the main focus of the NPWS is on the natural heritage, the service also has responsibility for a large number of buildings, structures, gardens and sites, many of which are of historic interest and architectural heritage value. Some of these structures were previously associated with historic estates, a number of which have been incorporated into our National Parks. The buildings and structures are often located in areas of high ecological and scenic value and as such it is critically important that any repair or adaptation works on these places, or new structures emplaced at these sites, should be carried out to the highest conservation and design standards. Given the natural heritage focused work of the NPWS it is essential that all built heritage and new construction projects in the National Parks ensure that all aspects of the built and natural heritage are identified and sustained properly throughout every project. The environmental footprint of each project needs to be considered – all choices around design, construction, and selection of materials needs to be informed by those that have the lowest environmental impact – wherever possible materials should be repairable or recyclable and/or low carbon choices. In the selection of materials or construction techniques to be used on any of the structures it is critically important that the potential impact on wildlife and the surrounding environment is fully considered before arriving at any final choices or specifications.",Open,Tender Submission,/epps/cft/downloadNoticeForAdvSearch.do?resourceId=4557290,,,1
Scoil Bhreandain Eachleim - Additional Accommodation,Scoil Bhreandain,24/10/2024 08:22:14,11/12/2024 16:00:00,4544545,"2 x 80m2 Mainstream Classrooms, 1 x 10.5m2 User Assisted WC",Open,Tender Submission,/epps/cft/downloadNoticeForAdvSearch.do?resourceId=4544545,,1.00,1
